_id,id,learningTrackCluster_id,Number of Learning Activities in LT,Number of Exercises in LT,Number of Engagement Activities in LT,Number of Communication Activities in LT,Number of Videos in LT,Number of Games in LT,Times Edited,Average Fun of LT,Average Difficulty of LT,typeLT,highuseteachLT,notprimary
30,f9bd6de1-3d80-4999-99e7-284e8a857fd7,15,3.0,0,3,1,0,0,0,,,1,0,0
3,fc6af83c-46b9-44fd-b7b4-80c551d5dcd4,3,3.0,1,0,3,0,0,0,,,1,0,1
121,c9dcb628-39ab-437e-a4de-861d42bcbf8c,2,22.0,11,5,0,7,0,0,,,1,0,1
485,0572b950-c9f8-4434-b96c-d8323ec7ea28,8,10.0,8,0,2,0,1,0,,,2,0,1
111,0915b877-8a50-4f65-81d5-79e34b4d3c83,2,1.0,0,0,0,2,0,1,,,1,0,1
80,d17c32eb-1b6c-4c30-a9fe-05d4de7f5cb7,18,2.0,2,0,0,1,0,0,2.0,5.0,0,0,0
4,5358d09f-e795-4dba-b682-e847f8e363d5,3,26.0,14,0,10,3,0,0,4.2,,1,0,1
13,c6165801-4d43-4a4e-b203-511aac7d1abe,3,27.0,14,0,11,3,0,0,,,1,0,1
11,d3145645-d0f0-48d2-a26e-c0c824a21229,3,27.0,14,0,11,3,0,0,,,1,0,1
116,10d0a93d-c4fd-46be-a224-5dfc7bc3d131,18,4.0,2,0,2,1,0,0,,,0,0,0
17,7e897cf1-220b-42ac-b4bb-b948a10bc7f1,18,27.0,14,0,12,3,0,0,,,0,0,0
117,ae48c54b-94bd-402d-8709-15bf176438dc,18,4.0,2,0,2,1,0,0,,,0,0,0
15,fb09321c-f1fc-48d8-bbf2-664eb3667cb1,3,27.0,14,0,11,3,0,0,3.7142857142857144,2.0,1,0,1
72,518ce42f-3dac-4178-8f63-2c5ec8ba9575,11,2.0,1,0,2,0,0,0,3.5,3.25,2,0,0
928,4aae9e6e-4f6a-4712-af5d-1ba38a64f478,15,26.0,16,4,0,1,0,0,,,1,1,0
26,95276f6e-bb17-4272-87bf-b490aed283a0,3,27.0,14,0,11,3,0,1,,,1,0,1
21,e4f04b1e-4a26-4a50-9bea-6793610f9555,3,27.0,14,0,11,3,0,0,3.75,2.4166666666666665,1,0,1
22,13a4d26f-0409-498a-941e-603b463e575f,3,27.0,14,0,11,3,0,0,,,1,0,1
24,99501b35-8be9-4be1-9625-e4fc31efdda6,3,30.0,15,0,13,3,0,0,,,1,0,1
130,0d3eb3ff-6314-48b2-8725-fd2ba7626295,2,22.0,11,5,0,7,0,0,,,1,0,1
124,3f115719-4ee5-425b-8dbe-486fc359b179,2,19.0,9,5,0,1,0,0,,,1,0,1
486,6e59ad78-45e1-45bd-9c0f-cd07da61747d,8,17.0,15,0,2,0,1,0,,,2,0,1
87,c499514a-a466-455c-ad43-b48a1fe08dea,8,17.0,22,0,2,0,1,3,,,2,0,1
487,adb39a9c-fdfe-4c9f-b775-322dbd85d621,8,10.0,10,0,1,0,0,0,,,2,0,1
203,52680dfd-554e-42bc-999a-ff2447e46c9e,2,3.0,2,1,0,1,0,1,,,1,0,1
929,9bf294fb-994b-4c7d-b3db-0fee716bb147,15,29.0,17,4,0,1,0,0,,,1,1,0
42,6df3ec57-1273-4a73-b4cb-b1731f13b58e,14,2.0,1,0,2,0,0,0,,,2,0,1
25,798457c8-9ad0-4c5a-9d51-0ba09a53fdc6,2,26.0,17,0,8,2,0,0,,,1,0,1
41,ca4d0b5b-3574-4a88-814b-9a7f560cd5cf,14,2.0,1,0,2,0,0,0,,,2,0,1
18,afe80deb-894e-458f-92c9-e45208e2dc58,3,32.0,15,1,14,4,0,0,2.7857142857142856,3.0,1,0,1
28,e59c33af-fcd9-4453-9a39-59eac85199fe,11,1.0,1,1,0,0,0,0,,,2,0,0
33,08ade10e-5373-4867-917a-81fca7da35ee,3,27.0,14,0,11,3,0,0,,,1,0,1
36,d64bfbea-1410-4bc8-b07d-1238c156ab05,3,27.0,14,0,12,3,0,0,,,1,0,1
35,89f8162b-93e0-42c4-b971-3de5ce81b4b2,3,27.0,14,0,11,3,0,0,3.375,2.375,1,0,1
29,71d64aec-0ace-4d3e-934e-bb8143f4405b,11,1.0,1,0,1,0,0,0,4.5,1.5,2,0,0
32,a02335ff-0896-4cc9-97c7-8130ad8054ed,11,2.0,2,0,1,0,0,0,4.0,2.0,2,0,0
31,67e1179c-8b44-4f6e-b672-9508e5b84be1,15,3.0,0,0,4,0,0,0,4.0,,1,0,0
27,40bfff99-fa92-404e-9eed-b92732c337d9,2,26.0,17,0,8,2,0,0,,,1,0,1
19,1114a212-2005-478a-abc8-08e38d4d7619,2,26.0,18,0,8,2,0,0,4.125,1.875,1,0,1
34,e8960a76-0464-42a1-8a8d-0af66d37b4b0,14,37.0,25,0,13,0,0,3,,,2,0,1
488,f80e2689-18d3-491f-b8ca-b8d11b0d6337,8,2.0,1,1,0,0,1,0,,,2,0,1
43,c99c09ec-8f11-43f8-9ab2-e3624df1bc9d,3,27.0,14,0,11,3,0,0,2.6666666666666665,2.6666666666666665,1,0,1
16,8f71a78a-d603-43d9-934b-483b53013996,2,26.0,17,0,8,2,0,0,3.8583333333333334,1.7777777777777777,1,0,1
10,7f962664-cb95-4d0e-8abf-68483970813c,2,24.0,16,0,7,2,0,0,,,1,0,1
5,1f845f34-e434-4700-8e5e-0ff3e53be421,2,24.0,16,0,7,2,0,0,,,1,0,1
6,16d87d65-7a08-436c-aa21-fdb231bf55d0,2,24.0,16,0,7,2,0,0,,,1,0,1
7,d0a317a6-686b-4c92-a70d-5167af42d37f,2,24.0,16,0,7,2,0,0,,,1,0,1
8,c4fe6c56-7bbb-4ae7-8742-1138fa3b5c22,2,24.0,16,0,7,2,0,0,,,1,0,1
9,44d57d5b-fd9d-4836-862e-22070008710d,2,24.0,16,0,7,2,0,0,,,1,0,1
12,16ee7c05-f3b5-4149-bc6d-adec5cfe434f,2,25.0,16,0,7,3,0,0,,,1,0,1
14,b477918b-9f65-4cd0-94d2-597d48a12d41,2,25.0,16,0,7,3,0,0,,,1,0,1
20,518dee09-5840-4204-a830-72ea66bb7be8,2,26.0,17,0,8,2,0,0,,,1,0,1
45,25c9594c-f7bc-48a0-a66c-20c0b0f7ec4b,14,35.0,24,0,12,0,0,0,,,2,0,1
23,dab9a6e9-1c7d-4845-bf43-ded744869ba7,2,26.0,17,0,8,2,0,0,,,1,0,1
107,26212df5-6fab-427c-9990-4cb506d0fe3d,15,30.0,28,6,1,4,0,1,,,1,0,0
109,1805bb59-8e53-450c-90ec-a3272a5d0f84,15,28.0,25,4,0,1,0,1,,,1,0,0
521,c28fbb15-ed57-4776-9d71-0fd972e484aa,15,36.0,19,6,1,2,0,1,4.205128205128205,,1,1,0
119,65d48c5b-5deb-453b-9d91-296e4aa3f0db,18,4.0,3,0,1,1,0,0,,,0,0,0
115,31528123-852c-4c73-9494-7cd90cd77486,18,4.0,3,0,1,1,0,0,,,0,0,0
114,8e48db8a-fec1-4e98-9938-9e8330a70976,18,5.0,2,0,3,1,0,0,,,0,0,0
113,d5358933-5c8e-4156-b26a-701da1772dd8,18,5.0,2,0,3,1,0,0,,,0,0,0
44,4fcce55c-fda9-46dd-9272-acc828465925,14,35.0,24,0,12,0,0,0,3.0,3.0,2,0,1
47,c3bb6d0e-2546-4c35-bdf1-51db7f427585,6,,0,0,0,0,0,0,,,1,0,1
489,bdf5af4d-47de-4da9-8123-f0e21abf2c59,8,10.0,11,0,2,0,1,3,3.706161137440758,2.2369668246445498,2,0,1
59,1d3b8b78-3f37-484b-adf9-5b7f59e97df5,11,2.0,1,0,2,0,0,3,,,2,0,0
490,1d55c790-6a67-4d06-8855-f73f4576cd66,8,17.0,15,0,2,0,1,0,,,2,0,1
553,6c67117a-045a-4a5c-bb67-ba781664db65,3,28.0,14,8,3,3,1,0,,,1,0,1
57,46533d41-baec-4cd1-b220-d14068e98b23,11,2.0,1,0,2,0,0,4,,,2,0,0
46,857b8d23-b5b7-460b-ac4d-54f2ec5be6bd,14,37.0,25,0,13,0,0,0,,,2,0,1
