id,school_id,Number of Started Assigned Learning Activities,Number of Completed Assigned Learning Activities,Ratio of Completed Learning Activities to Assigned Learning Activities,Total Time in Completed Learning Activities,Average Time in Completed Learning Activities,Number of Exercise Activities,Number of Engagement Activities,Number of Comunication Activities,Number of Video Activities,Number of Game Activities,Number of Free Learning Activities,Number of Unique Free Learning Activities,Number of Started Learning Tracks,Number of Completed Learning Tracks,Total Time in Completed Learning Tracks,Average Time in Completed Learning Tracks,Number of Language Learning Tracks Started,Number of STEM Learning Tracks Started,Number of Music Learning Tracks Started,Number of Religion Learning Tracks Started,Number of Problems,Average Difficulty Rating,Average Fun Rating
2b02b3cc-961f-45d4-87b9-c2fbc1d25339,4,48,45,0.5232558139534884,62 days 21:55:56.719778,1 days 09:33:14.593772844,30,13,1,4,0,0,0,6,4,46 days 20:27:11.021000,11 days 17:06:47.755250,6,0,0,0,1,,3.6285714285714286
91e01e0e-ad9a-4a41-a271-4f865b007a80,4,9,8,0.2222222222222222,0 days 01:22:43.723870,0 days 00:10:20.465483750,2,6,1,0,0,0,0,4,3,0 days 00:54:38.236000,0 days 00:18:12.745333333,4,0,0,0,0,,3.3333333333333335
287d9f81-b411-4858-8838-ed57fdbd6f92,4,9,8,0.2222222222222222,0 days 01:17:50.034121,0 days 00:09:43.754265125,2,6,1,0,0,0,0,4,3,0 days 00:46:33.058000,0 days 00:15:31.019333333,4,0,0,0,0,,
5eb57b9b-269d-44d5-94bc-001cae0ceff3,4,16,15,0.4166666666666667,0 days 01:19:11.952382,0 days 00:05:16.796825466,8,7,1,0,0,0,0,4,2,0 days 00:34:54.130000,0 days 00:17:27.065000,4,0,0,0,0,,4.0
1f820731-d07e-456e-8c0d-8a92ad0bb805,4,7,5,0.1388888888888889,0 days 00:32:41.413571,0 days 00:06:32.282714200,1,5,1,0,0,0,0,4,2,0 days 00:33:32.897000,0 days 00:16:46.448500,4,0,0,0,0,,4.0
15273a77-2617-4a4f-bc93-5bd5e5ee3f13,4,2,1,,0 days 00:30:58.817395,0 days 00:30:58.817395,0,2,0,0,0,0,0,2,1,0 days 00:31:12.609000,0 days 00:31:12.609000,2,0,0,0,0,,
8ece32ef-0ea2-4a23-b675-97fd3ebc1323,4,7,6,0.16666666666666666,0 days 01:09:56.907398,0 days 00:11:39.484566333,2,5,0,0,0,0,0,3,1,0 days 00:33:31.243000,0 days 00:33:31.243000,3,0,0,0,0,,3.2
668cbcec-7c0e-413d-add6-ddc81e019666,4,11,10,0.2777777777777778,0 days 01:21:03.521741,0 days 00:08:06.352174100,3,7,1,0,0,1,1,4,2,0 days 00:35:10.857000,0 days 00:17:35.428500,4,0,0,0,0,,4.625
4c8f9d3a-4fbf-4a60-a4ea-cd5123736d4e,4,6,6,0.16666666666666666,0 days 01:27:48.925953,0 days 00:14:38.154325500,1,4,1,0,0,0,0,4,2,0 days 00:49:10.184000,0 days 00:24:35.092000,3,0,0,0,0,,5.0
fff01c62-e72e-4050-9efa-45f65108f69b,4,8,8,0.2222222222222222,0 days 01:26:14.313777,0 days 00:10:46.789222125,2,5,1,0,0,0,0,4,3,0 days 00:37:33.027000,0 days 00:12:31.009000,4,0,0,0,0,,3.75
dc00606d-6d5a-480b-a468-52395ce5c5a6,4,13,12,0.3333333333333333,0 days 01:19:18.079286,0 days 00:06:36.506607166,7,5,1,0,0,0,0,2,1,0 days 00:35:36.079000,0 days 00:35:36.079000,2,0,0,0,0,,4.111111111111111
b8b35532-24ac-4e3b-b1ec-c77ef501cd52,4,9,7,0.19444444444444445,0 days 01:03:19.933081,0 days 00:09:02.847583,2,6,1,0,0,3,2,3,1,0 days 00:31:44.627000,0 days 00:31:44.627000,3,0,0,0,0,,3.4
fffa0435-8827-4220-b54b-ededf6093c22,4,11,9,0.25,0 days 01:04:03.680035,0 days 00:07:07.075559444,3,7,1,0,0,0,0,4,2,0 days 00:32:32.561000,0 days 00:16:16.280500,4,0,0,0,0,,4.666666666666667
bd3a64ae-bd6c-4bc2-9012-fdafa6416014,4,11,10,0.2777777777777778,0 days 01:08:54.745913,0 days 00:06:53.474591300,3,7,1,0,0,0,0,4,3,0 days 00:40:40.734000,0 days 00:13:33.578000,4,0,0,0,0,,4.4
fe73896e-dd58-4600-8cb7-733d44ef7c86,4,9,7,0.19444444444444445,0 days 01:18:37.618907,0 days 00:11:13.945558142,2,6,1,0,0,0,0,4,2,0 days 00:33:59.797000,0 days 00:16:59.898500,4,0,0,0,0,,2.5
10e4964c-967c-48b3-a870-b2d62a87e589,4,9,8,0.2222222222222222,0 days 01:08:20.745863,0 days 00:08:32.593232875,2,6,1,0,0,0,0,3,1,0 days 00:28:21.519000,0 days 00:28:21.519000,3,0,0,0,0,,3.75
a44e564f-0c85-4e93-8675-bfbc9ae3c124,4,5,3,0.08333333333333333,0 days 00:59:08.951623,0 days 00:19:42.983874333,2,2,1,0,0,1,1,3,1,0 days 00:30:49.178000,0 days 00:30:49.178000,3,0,0,0,0,,5.0
1772b2b9-e08a-4a87-9ffe-9f50df35e38e,4,4,4,0.1111111111111111,0 days 00:59:00.037154,0 days 00:14:45.009288500,1,2,1,0,0,0,0,2,1,0 days 00:39:57.613000,0 days 00:39:57.613000,2,0,0,0,0,,4.0
6122978c-a6a0-4f5a-b009-9dbd060ee354,4,10,8,0.2222222222222222,0 days 01:14:09.980256,0 days 00:09:16.247532,3,6,1,0,0,0,0,3,1,0 days 00:34:15.100000,0 days 00:34:15.100000,3,0,0,0,0,,4.0
325939ca-defc-42fa-beee-16dfe64fd968,4,37,36,0.5538461538461539,44 days 05:59:45.512776,1 days 05:29:59.597577111,21,12,1,3,0,0,0,5,4,68 days 19:54:30.194000,17 days 04:58:37.548500,5,0,0,0,6,,3.8275862068965516
a8df34f0-b217-4634-8114-9f747009ad6c,4,37,36,0.5538461538461539,19 days 05:07:27.586837,0 days 12:48:32.432967694,21,12,1,3,0,0,0,5,3,0 days 00:17:45.825000,0 days 00:05:55.275000,5,0,0,0,1,,5.0
2049a49f-0045-4601-b24d-26f83ef254fe,4,38,36,0.5538461538461539,7 days 01:16:56.734639,0 days 04:42:08.242628861,22,12,1,3,0,0,0,5,3,56 days 00:49:58.752000,18 days 16:16:39.584000,5,0,0,0,0,,4.833333333333333
ca418a88-024b-42d5-ba49-60476bb5a102,4,9,8,0.2222222222222222,0 days 01:16:33.815888,0 days 00:09:34.226986,2,6,1,0,0,0,0,3,1,0 days 00:32:54.258000,0 days 00:32:54.258000,3,0,0,0,0,,3.2
c01ae51e-e8d1-4d7d-a431-8c0a7987b06a,4,28,26,0.7222222222222222,103 days 04:34:24.747263,3 days 23:15:10.182587038,17,8,1,2,0,0,0,3,1,0 days 00:12:08.517000,0 days 00:12:08.517000,3,0,0,0,0,,4.318181818181818
57d7de05-ce89-4e1c-8c33-cd623a1c7481,4,4,4,0.1111111111111111,0 days 00:01:06.968252,0 days 00:00:16.742063,1,2,1,0,0,0,0,1,0,,,1,0,0,0,0,,4.666666666666667
64df410b-79c0-492f-9161-c0e598b5658a,4,52,52,0.8,282 days 13:45:17.277354,5 days 10:25:06.101487576,35,13,1,3,0,0,0,5,5,109 days 03:05:31.422000,21 days 19:49:06.284400,5,0,0,0,0,,3.477272727272727
dd47538b-3c5a-4111-8dc3-2a70f3e07fab,4,25,23,0.6388888888888888,40 days 19:43:52.541934,1 days 18:35:49.240953652,14,9,1,1,0,0,0,5,3,0 days 00:20:57.886000,0 days 00:06:59.295333333,4,0,0,0,17,,4.470588235294118
71659f2c-ece6-48d4-a421-8abd832a8458,4,50,50,0.7692307692307693,56 days 00:11:04.697644,1 days 02:53:01.293952880,33,13,1,3,0,0,0,5,5,69 days 01:02:28.656000,13 days 19:24:29.731200,5,0,0,0,1,,4.214285714285714
8ad36536-dcc2-4539-8368-7f9203ec698c,4,38,38,0.5846153846153846,18 days 16:31:38.704466,0 days 11:48:12.071170157,22,12,1,3,0,0,0,5,4,62 days 18:15:57.030000,15 days 16:33:59.257500,5,0,0,0,0,,4.225806451612903
711a6101-6b9c-42a3-85e4-203c138ead52,4,36,34,0.5483870967741935,24 days 22:04:08.590106,0 days 17:35:24.958532529,21,11,1,3,0,0,0,4,2,76 days 02:16:27.401000,38 days 01:08:13.700500,4,0,0,0,0,,4.777777777777778
84b9ed1f-6ef3-414d-8731-d8568ab6de7b,4,33,31,0.5,37 days 10:30:20.640366,1 days 04:59:02.601302129,20,10,1,2,0,0,0,5,3,70 days 00:31:39.914000,23 days 08:10:33.304666666,5,0,0,0,0,,3.76
e390f0fb-b6dc-42d2-a10f-0f1b79db1b8a,4,43,42,0.6461538461538462,33 days 13:27:48.818618,0 days 19:10:39.733776619,26,13,1,3,0,0,0,5,3,49 days 23:05:53.098000,16 days 15:41:57.699333333,5,0,0,0,2,,4.857142857142857
e0efb901-cbd0-4f9c-a797-be3a857e8770,4,48,48,0.7384615384615385,81 days 06:44:11.894051,1 days 16:38:25.247792729,31,13,1,3,0,0,0,5,4,46 days 20:08:21.599000,11 days 17:02:05.399750,5,0,0,0,2,,4.525
7fb05687-edd0-4785-a0f3-85f5cadfcca2,4,37,36,0.5538461538461539,44 days 05:44:12.534322,1 days 05:29:33.681508944,21,12,1,3,0,0,0,5,4,62 days 18:01:39.174000,15 days 16:30:24.793500,5,0,0,0,0,,4.827586206896552
0dabd4de-daf1-4595-aa66-9401b592d2d3,4,43,43,0.6615384615384615,7 days 10:17:01.946510,0 days 04:08:46.091779302,26,13,1,3,0,0,0,5,4,56 days 00:13:55.294000,14 days 00:03:28.823500,5,0,0,0,0,,4.685714285714286
3fe7926a-8afb-4af7-a5f0-1b8e63b01746,5,11,10,0.35714285714285715,0 days 00:19:56.903827,0 days 00:01:59.690382700,6,0,4,0,1,0,0,3,0,,,0,2,0,0,0,1.75,3.0
10340563-45ec-425b-8cfa-84ec90ab81fd,5,22,20,0.31746031746031744,13 days 23:30:07.251903,0 days 16:46:30.362595150,16,0,6,0,0,0,0,2,1,7 days 00:02:23.635000,7 days 00:02:23.635000,0,2,0,0,2,1.875,3.875
86c186ff-cf71-4aef-926b-d1e60c6cc08b,5,20,19,0.30158730158730157,0 days 00:22:00.491340,0 days 00:01:09.499544210,15,0,5,0,0,0,0,2,0,,,0,2,0,0,0,2.2857142857142856,3.0
d0858506-7f21-4f0a-94de-42aab28450a5,5,2,2,1.0,0 days 01:16:02.350960,0 days 00:38:01.175480,1,0,0,0,1,0,0,1,0,,,0,1,0,0,0,1.5,4.0
77048d02-65dd-4b3b-a48c-7f69c9174b4e,5,2,1,0.5,0 days 00:01:28.066977,0 days 00:01:28.066977,1,0,0,0,1,0,0,1,0,,,0,1,0,0,0,1.0,3.0
6bc36041-0d43-4e3b-a246-33d9820c43d9,5,18,18,0.2857142857142857,7 days 00:06:56.089985,0 days 09:20:23.116110277,14,0,4,0,0,0,0,2,0,,,0,2,0,0,0,2.25,3.875
ba1f517f-77ee-44bf-963c-785f34a31094,5,2,1,0.5,0 days 00:01:05.430316,0 days 00:01:05.430316,1,0,0,0,1,0,0,1,0,,,0,1,0,0,0,3.0,4.0
2a2b9c55-58ac-48b2-9e28-fdaebe3f85b1,5,65,62,0.9538461538461539,6 days 23:52:18.135943,0 days 02:42:27.389289403,41,0,23,0,1,0,0,3,2,14 days 00:08:41.502000,7 days 00:04:20.751000,0,3,0,0,0,2.3181818181818183,3.5681818181818183
1a536552-1b2d-4432-99f6-8102ba5651d1,5,15,5,0.13513513513513514,0 days 00:07:28.144931,0 days 00:01:29.628986200,13,0,2,0,0,0,0,1,0,,,0,1,0,0,0,1.0,3.0
02207fc3-a4e0-4990-a19b-3c9db5c1def9,5,2,1,0.5,0 days 00:02:44.960044,0 days 00:02:44.960044,1,0,0,0,1,0,0,1,0,,,0,1,0,0,0,2.0,4.0
56c1e935-cbbe-40fb-9d8d-631c59948b80,5,2,1,0.5,0 days 00:02:24.428361,0 days 00:02:24.428361,1,0,0,0,1,0,0,1,0,,,0,1,0,0,0,2.0,4.0
8737f620-f580-485b-b75c-2920c277b6f3,5,13,12,0.32432432432432434,0 days 00:09:37.175226,0 days 00:00:48.097935500,10,0,3,0,0,0,0,1,0,,,0,1,0,0,0,2.0,3.0
9c894ead-8a3d-4207-91ed-b899a02ba28e,5,2,2,1.0,0 days 00:02:19.041411,0 days 00:01:09.520705500,1,0,0,0,1,0,0,1,0,,,0,1,0,0,0,1.0,4.0
824a380a-e8d7-4ba2-8da1-85f18c4dc168,5,67,67,1.0307692307692307,13 days 23:51:11.450819,0 days 05:00:45.842549537,41,1,24,0,1,0,0,3,3,14 days 00:03:22.026000,4 days 16:01:07.342000,0,3,0,0,0,1.297872340425532,4.680851063829787
22bb1b31-fa2a-47c8-9b74-43474a1a5152,5,3,3,1.5,0 days 01:17:55.562308,0 days 00:25:58.520769333,1,1,0,0,1,0,0,1,1,0 days 01:18:41.011000,0 days 01:18:41.011000,0,1,0,0,0,2.5,4.0
