id,school_id,Number of Learning Tracks Added to Library,Number of Learning Tracks Edited,Number of Groups Created,Number of Edits to Groups,Total Learning Tracks Assigned to Groups,Assigned LTs per Group Created
8a58a7e9-12f3-4d5a-8a58-1f3ed23471e0,4,13,2,10,13,13,1.3
844e6678-130a-46d9-9937-7d37e8e668b0,4,16,1,13,8,6,0.46153846153846156
4317b404-c00c-4cdd-b04f-358be6e5a647,5,0,0,0,0,0,
5abf1131-827a-427e-a23b-38712cdaf79c,5,0,0,0,0,0,
06c44624-ee90-4a36-957b-53f8346e4e2b,5,2,0,0,0,0,
f4da5bc4-c806-448a-abc3-fc5d4691c034,5,0,0,0,0,0,
bccdea5c-9fbf-4e48-b89f-485546f28f97,5,0,0,0,0,0,
010a2b1d-37ab-4101-84e1-8bddd4a8cc1f,5,7,0,3,9,5,1.6666666666666667
9be82d3f-fd91-4197-ae51-0c7f3a7fa5ee,5,0,0,0,0,0,
dffba8fb-7dac-4459-9bcc-f1b1e06c50e4,6,8,0,1,1,3,3.0
474abd4c-7e64-4bf8-b452-f8e13eaa3c72,6,2,0,1,2,2,2.0
c35fd5c3-2325-4896-8217-b37d09987885,6,6,0,2,8,4,2.0
ffa749bd-137a-45c9-9815-77050524cb92,6,2,2,7,5,2,0.2857142857142857
8cd73ef8-ff6a-49ea-84d2-bb73b2627973,6,3,0,2,3,2,1.0
243928fb-3b34-481b-9e07-23b88f87326b,6,5,0,1,1,4,4.0
2847ee94-3f0f-431f-be1e-6fe91514e324,7,20,0,3,6,3,1.0
58edd8a7-76ea-4699-95b2-62bb2e678eb4,7,4,0,1,0,0,0.0
af83e121-ac45-4470-86d4-c8c4d364a4d3,7,0,0,0,0,0,
ba49932f-600f-440e-8dee-f7887bc99f33,7,21,1,4,13,8,2.0
6d9fe397-f148-435d-9fb1-89d1be0b1d31,7,0,0,0,0,0,
43b3a31a-edeb-48e7-b551-f8fd7ae54456,7,3,0,1,0,0,0.0
51965b6e-e2c0-49a2-9d1f-17e984148e0b,7,13,0,0,0,0,
e7165892-1487-47fa-bded-5fd26d7b1d06,8,25,0,7,29,25,3.5714285714285716
52c07d40-97e8-4708-a1a5-23d012acff49,8,12,0,1,1,17,17.0
3cbf7616-bedd-48bb-af33-db64e1cc1f17,8,24,2,8,7,24,3.0
